GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Error Prone Maven Plugin,io.github.jonasrutishauser.errorprone.maven.plugin,CheckSeverity,0,27,0,0,0,2,0,1,0,1
Error Prone Maven Plugin,io.github.jonasrutishauser.errorprone.maven.plugin,TestConfigurationMojo,6,0,0,0,2,0,2,0,2,0
Error Prone Maven Plugin,io.github.jonasrutishauser.errorprone.maven.plugin,ErrorproneArtifactHandler,4,13,0,0,2,6,2,6,2,6
Error Prone Maven Plugin,io.github.jonasrutishauser.errorprone.maven.plugin,CompilerConfiguration,15,464,14,36,6,102,14,29,0,18
Error Prone Maven Plugin,io.github.jonasrutishauser.errorprone.maven.plugin,ErrorproneConfigurationProjectExecutionListener,9,77,3,9,2,16,4,9,1,6
Error Prone Maven Plugin,io.github.jonasrutishauser.errorprone.maven.plugin,CompilerConfiguration.StrongEncapsulationHelperJava,47,73,7,3,9,7,5,2,0,2
Error Prone Maven Plugin,io.github.jonasrutishauser.errorprone.maven.plugin,AbstractConfigurationMojo,40,230,9,13,6,46,8,9,0,6
Error Prone Maven Plugin,io.github.jonasrutishauser.errorprone.maven.plugin,ConfigurationMojo,0,6,0,0,0,2,0,2,0,2
